9.536743164062500000e-07,1.430511474609375000e-06
3.576278686523437500e-06,3.576278686523437500e-06
3.576278686523437500e-06,4.053115844726562500e-06
4.529953002929687500e-06,8.106231689453125000e-06
5.483627319335937500e-06,6.198883056640625000e-06
6.675720214843750000e-06,7.629394531250000000e-06
8.344650268554687500e-06,8.821487426757812500e-06
9.298324584960937500e-06,1.025199890136718750e-05
1.072883605957031250e-05,1.144409179687500000e-05
1.215934753417968750e-05,1.263618469238281250e-05
1.358985900878906250e-05,1.406669616699218750e-05
1.478195190429687500e-05,1.573562622070312500e-05
1.573562622070312500e-05,1.740455627441406250e-05
1.764297485351562500e-05,1.907348632812500000e-05
1.907348632812500000e-05,2.026557922363281250e-05
2.002716064453125000e-05,2.169609069824218750e-05
2.217292785644531250e-05,2.312660217285156250e-05
2.384185791015625000e-05,2.551078796386718750e-05
2.527236938476562500e-05,2.717971801757812500e-05
2.670288085937500000e-05,2.837181091308593750e-05
2.789497375488281250e-05,3.004074096679687500e-05
3.314018249511718750e-05,3.218650817871093750e-05
5.912780761718750000e-05,5.960464477539062500e-05
3.266334533691406250e-05,3.576278686523437500e-05
3.480911254882812500e-05,3.671646118164062500e-05
3.600120544433593750e-05,3.910064697265625000e-05
3.790855407714843750e-05,4.076957702636718750e-05
3.981590270996093750e-05,4.220008850097656250e-05
4.076957702636718750e-05,4.410743713378906250e-05
4.291534423828125000e-05,4.506111145019531250e-05
4.458427429199218750e-05,4.863739013671875000e-05
4.553794860839843750e-05,4.887580871582031250e-05
4.673004150390625000e-05,5.149841308593750000e-05
5.245208740234375000e-05,5.269050598144531250e-05
4.816055297851562500e-05,5.412101745605468750e-05
5.102157592773437500e-05,5.602836608886718750e-05
5.245208740234375000e-05,5.841255187988281250e-05
5.435943603515625000e-05,6.008148193359375000e-05
5.531311035156250000e-05,6.151199340820312500e-05
5.698204040527343750e-05,6.318092346191406250e-05
5.865097045898437500e-05,6.532669067382812500e-05
8.058547973632812500e-05,6.771087646484375000e-05
6.246566772460937500e-05,6.914138793945312500e-05
6.341934204101562500e-05,7.009506225585937500e-05
6.771087646484375000e-05,7.247924804687500000e-05
6.699562072753906250e-05,7.534027099609375000e-05
6.198883056640625000e-05,7.653236389160156250e-05
6.222724914550781250e-05,7.867813110351562500e-05
6.365776062011718750e-05,8.153915405273437500e-05
6.532669067382812500e-05,8.320808410644531250e-05
6.747245788574218750e-05,8.463859558105468750e-05
6.842613220214843750e-05,8.559226989746093750e-05
7.033348083496093750e-05,8.821487426757812500e-05
7.081031799316406250e-05,9.036064147949218750e-05
7.200241088867187500e-05,9.155273437500000000e-05
7.414817810058593750e-05,9.369850158691406250e-05
7.796287536621093750e-05,9.584426879882812500e-05
7.700920104980468750e-05,9.679794311523437500e-05
7.843971252441406250e-05,9.870529174804687500e-05
7.987022399902343750e-05,9.965896606445312500e-05
8.106231689453125000e-05,1.032352447509765625e-04
